Season,Seed,TeamID,TeamName,Region
2022,12,1412,UAB,Z
1985,8,1425,USC,Y
1991,10,1425,USC,X
1992,2,1425,USC,Y
1997,11,1425,USC,X
2001,6,1425,USC,W
2002,4,1425,USC,Y
2007,5,1425,USC,W
2008,6,1425,USC,X
2009,10,1425,USC,Y
2011,11,1425,USC,Z
2016,8,1425,USC,W
2017,11,1425,USC,W
2021,6,1425,USC,X
2022,7,1425,USC,Y
1985,9,1229,Illinois St,Y
1990,14,1229,Illinois St,Z
1997,11,1229,Illinois St,Y
1998,9,1229,Illinois St,X
1985,10,1277,Michigan St,Y
1986,5,1277,Michigan St,X
1990,1,1277,Michigan St,Y
1991,5,1277,Michigan St,Z
1992,5,1277,Michigan St,Y
1994,7,1277,Michigan St,X
1995,3,1277,Michigan St,Z
1998,4,1277,Michigan St,W
1999,1,1277,Michigan St,X
2000,1,1277,Michigan St,Y
2001,1,1277,Michigan St,Z
2002,10,1277,Michigan St,W
2003,7,1277,Michigan St,X
2004,7,1277,Michigan St,Z
2005,5,1277,Michigan St,Y
2006,6,1277,Michigan St,Z
2007,9,1277,Michigan St,W
2008,5,1277,Michigan St,Y
2009,2,1277,Michigan St,Y
2010,5,1277,Michigan St,Y
2011,10,1277,Michigan St,Y
2012,1,1277,Michigan St,Z
2013,3,1277,Michigan St,Y
2014,4,1277,Michigan St,W
2015,7,1277,Michigan St,W
2016,2,1277,Michigan St,X
2017,9,1277,Michigan St,Y
2018,3,1277,Michigan St,X
2019,2,1277,Michigan St,W
2021,11,1277,Michigan St,W
2022,7,1277,Michigan St,X
1985,11,1130,Boston College,Y
1994,9,1130,Boston College,W
1996,11,1130,Boston College,Y
1997,5,1130,Boston College,Z
2001,3,1130,Boston College,W
2002,11,1130,Boston College,X
2004,6,1130,Boston College,Z
2005,4,1130,Boston College,X
2006,4,1130,Boston College,Y
2007,7,1130,Boston College,W
2009,7,1130,Boston College,Y
1985,12,1338,Pittsburgh,Y
1987,3,1338,Pittsburgh,Z
1988,2,1338,Pittsburgh,X
1989,8,1338,Pittsburgh,Y
1991,6,1338,Pittsburgh,X
1993,9,1338,Pittsburgh,Y
2002,3,1338,Pittsburgh,Y
2003,2,1338,Pittsburgh,Y
2004,3,1338,Pittsburgh,Y
2005,9,1338,Pittsburgh,W
2006,5,1338,Pittsburgh,X
2007,3,1338,Pittsburgh,Z
2008,4,1338,Pittsburgh,Y
2009,1,1338,Pittsburgh,W
2010,3,1338,Pittsburgh,Z
2011,1,1338,Pittsburgh,Y
2013,8,1338,Pittsburgh,Z
2014,9,1338,Pittsburgh,X
2016,10,1338,Pittsburgh,W
1985,13,1235,Iowa St,Y
1986,7,1235,Iowa St,X
1988,12,1235,Iowa St,W
1989,10,1235,Iowa St,Z
1992,10,1235,Iowa St,W
1993,8,1235,Iowa St,Z
1995,7,1235,Iowa St,Z
1996,5,1235,Iowa St,X
1997,6,1235,Iowa St,Y
2000,2,1235,Iowa St,Y
2001,2,1235,Iowa St,X
2005,9,1235,Iowa St,Z
2012,8,1235,Iowa St,Y
2013,10,1235,Iowa St,Z
2014,3,1235,Iowa St,W
2015,3,1235,Iowa St,X
2016,4,1235,Iowa St,X
2017,5,1235,Iowa St,Y
2019,6,1235,Iowa St,Y
2022,11,1235,Iowa St,Y
1985,14,1337,Pepperdine,Y
1986,12,1337,Pepperdine,Z
1991,14,1337,Pepperdine,Z
1992,11,1337,Pepperdine,Y
1994,14,1337,Pepperdine,Y
2000,11,1337,Pepperdine,W
2002,10,1337,Pepperdine,X
1985,15,1335,Penn,Y
1987,16,1335,Penn,W
1993,14,1335,Penn,W
1994,11,1335,Penn,W
1995,12,1335,Penn,W
1999,11,1335,Penn,Z
2000,13,1335,Penn,W
2002,11,1335,Penn,Y
2003,11,1335,Penn,W
2005,13,1335,Penn,X
2006,15,1335,Penn,W
2007,14,1335,Penn,X
2018,16,1335,Penn,X
1985,16,1299,NC A&T,Y
1986,16,1299,NC A&T,X
1987,15,1299,NC A&T,X
1988,14,1299,NC A&T,W
1994,16,1299,NC A&T,Y
1995,16,1299,NC A&T,W
2013,16,1299,NC A&T,Y
1985,1,1276,Michigan,Z
1986,2,1276,Michigan,X
1987,9,1276,Michigan,W
1988,3,1276,Michigan,Z
1989,3,1276,Michigan,Z
1990,3,1276,Michigan,Z
1992,6,1276,Michigan,Z
1993,1,1276,Michigan,Z
1994,3,1276,Michigan,Y
1995,9,1276,Michigan,Y
1996,7,1276,Michigan,X
1998,3,1276,Michigan,Z
2009,10,1276,Michigan,X
2011,8,1276,Michigan,X
2012,4,1276,Michigan,X
2013,4,1276,Michigan,X
2014,2,1276,Michigan,Y
2016,11,1276,Michigan,W
2017,7,1276,Michigan,Y
2018,3,1276,Michigan,Z
2019,2,1276,Michigan,X
2021,1,1276,Michigan,W
2022,11,1276,Michigan,Z
1985,2,1314,North Carolina,Z
1986,3,1314,North Carolina,Z
1987,1,1314,North Carolina,W
1988,2,1314,North Carolina,Z
1989,2,1314,North Carolina,Z
1990,8,1314,North Carolina,X
1991,1,1314,North Carolina,W
1992,4,1314,North Carolina,Z
1993,1,1314,North Carolina,W
1994,1,1314,North Carolina,W
1995,2,1314,North Carolina,Z
1996,6,1314,North Carolina,W
1997,1,1314,North Carolina,W
1998,1,1314,North Carolina,W
1999,3,1314,North Carolina,Z
2000,8,1314,North Carolina,X
2001,2,1314,North Carolina,Z
2004,6,1314,North Carolina,W
2005,1,1314,North Carolina,Z
2006,3,1314,North Carolina,Z
2007,1,1314,North Carolina,W
2008,1,1314,North Carolina,W
2009,1,1314,North Carolina,X
2011,2,1314,North Carolina,W
2012,1,1314,North Carolina,X
2013,8,1314,North Carolina,X
2014,6,1314,North Carolina,W
2015,4,1314,North Carolina,Z
2016,1,1314,North Carolina,W
2017,1,1314,North Carolina,Z
2018,2,1314,North Carolina,Z
2019,1,1314,North Carolina,Y
2021,8,1314,North Carolina,Z
2022,8,1314,North Carolina,W
1985,3,1242,Kansas,Z
1986,1,1242,Kansas,X
1987,5,1242,Kansas,X
1988,6,1242,Kansas,X
1990,2,1242,Kansas,W
1991,3,1242,Kansas,X
1992,1,1242,Kansas,Y
1993,2,1242,Kansas,X
1994,4,1242,Kansas,X
1995,1,1242,Kansas,Y
1996,2,1242,Kansas,Z
1997,1,1242,Kansas,X
1998,1,1242,Kansas,Y
1999,6,1242,Kansas,X
2000,8,1242,Kansas,W
2001,4,1242,Kansas,Y
2002,1,1242,Kansas,X
2003,2,1242,Kansas,Z
2004,4,1242,Kansas,Z
2005,3,1242,Kansas,Z
2006,4,1242,Kansas,X
2007,1,1242,Kansas,Z
2008,1,1242,Kansas,X
2009,3,1242,Kansas,Y
2010,1,1242,Kansas,Y
2011,1,1242,Kansas,Z
2012,2,1242,Kansas,X
2013,1,1242,Kansas,X
2014,2,1242,Kansas,X
2015,2,1242,Kansas,Y
2016,1,1242,Kansas,Y
2017,1,1242,Kansas,Y
2018,1,1242,Kansas,X
2019,4,1242,Kansas,Y
2021,3,1242,Kansas,X
2022,1,1242,Kansas,Y
1985,4,1261,LSU,Z
1986,11,1261,LSU,Y
1987,10,1261,LSU,Y
1988,9,1261,LSU,W
1989,10,1261,LSU,X
1990,5,1261,LSU,Y
1991,6,1261,LSU,Y
1992,7,1261,LSU,X
1993,11,1261,LSU,X
2000,4,1261,LSU,Z
2003,8,1261,LSU,X
2005,6,1261,LSU,X
2006,4,1261,LSU,W
2009,8,1261,LSU,X
2015,9,1261,LSU,W
2019,3,1261,LSU,W
2021,8,1261,LSU,W
2022,6,1261,LSU,Y
1985,5,1268,Maryland,Z
1986,5,1268,Maryland,Z
1988,7,1268,Maryland,Y
1994,10,1268,Maryland,Y
1995,3,1268,Maryland,X
1996,7,1268,Maryland,Z
1997,5,1268,Maryland,X
1998,4,1268,Maryland,X
1999,2,1268,Maryland,Y
2000,3,1268,Maryland,Y
2001,3,1268,Maryland,X
2002,1,1268,Maryland,W
2003,6,1268,Maryland,X
2004,4,1268,Maryland,X
2007,4,1268,Maryland,Y
2009,10,1268,Maryland,Z
2010,4,1268,Maryland,Y
2015,4,1268,Maryland,Y
2016,5,1268,Maryland,Y
2017,6,1268,Maryland,X
2019,6,1268,Maryland,W
2021,10,1268,Maryland,W
1985,6,1345,Purdue,Z
1986,6,1345,Purdue,Y
1987,3,1345,Purdue,W
1988,1,1345,Purdue,X
1990,2,1345,Purdue,X
1991,7,1345,Purdue,W
1993,9,1345,Purdue,W
1994,1,1345,Purdue,X
1995,3,1345,Purdue,Y
1996,1,1345,Purdue,Z
1997,8,1345,Purdue,X
1998,2,1345,Purdue,Y
1999,10,1345,Purdue,W
2000,6,1345,Purdue,Z
2003,9,1345,Purdue,X
2007,9,1345,Purdue,Y
2008,6,1345,Purdue,Z
2009,5,1345,Purdue,Z
2010,4,1345,Purdue,X
2011,3,1345,Purdue,Z
2012,10,1345,Purdue,X
2015,9,1345,Purdue,Y
2016,5,1345,Purdue,X
2017,4,1345,Purdue,Y
2018,2,1345,Purdue,W
2019,3,1345,Purdue,Z
2021,4,1345,Purdue,Z
2022,3,1345,Purdue,W
1985,7,1323,Notre Dame,Z
1986,3,1323,Notre Dame,X
1987,5,1323,Notre Dame,W
1988,10,1323,Notre Dame,W
1989,9,1323,Notre Dame,W
1990,10,1323,Notre Dame,Y
2001,6,1323,Notre Dame,Y
2002,8,1323,Notre Dame,Y
