Season,TeamID,TeamName,538rating
2017,1388,Saint Mary's (CA),87.39
2017,1345,Purdue,88.61
2017,1455,Wichita State,88.86
2017,1374,Southern Methodist,88.43
2017,1235,Iowa State,87.92
2017,1124,Baylor,87.66
2017,1332,Oregon,87.3
2017,1139,Butler,86.52
2017,1196,Florida,87.84
2017,1199,Florida State,87.22
2017,1153,Cincinnati,87.35
2017,1458,Wisconsin,87.84
2017,1276,Michigan,86.86
2017,1323,Notre Dame,86.68
2017,1166,Creighton,84.43
2017,1329,Oklahoma State,84.71
2017,1274,Miami (FL),84.56
2017,1116,Arkansas,83.19
2017,1435,Vanderbilt,83.79
2017,1348,Rhode Island,84.02
2017,1243,Kansas State,83.08
2017,1376,South Carolina,83.08
2017,1371,Seton Hall,82.95
2017,1173,Dayton,82.84
2017,1266,Marquette,83.01
2017,1277,Michigan State,82.79
2017,1448,Wake Forest,82.96
2017,1462,Xavier,82.34
2017,1433,Virginia Commonwealth,82.93
2017,1292,Middle Tennessee,81.28
2017,1268,Maryland,82.48
2017,1321,Northwestern,82.6
2017,1278,Minnesota,81.23
2017,1344,Providence,81.75
2017,1425,Southern California,81.18
2017,1305,Nevada,80.73
2017,1343,Princeton,80
2017,1423,North Carolina-Wilmington,80.19
2017,1439,Virginia Tech,80.02
2017,1436,Vermont,79.49
2017,1137,Bucknell,77.93
2017,1190,East Tennessee State,78.05
2017,1457,Winthrop,75.53
2017,1195,Florida Gulf Coast,75.81
2017,1308,New Mexico State,75.6
2017,1233,Iona,75.49
2017,1245,Kent State,74.27
2017,1407,Troy,73.28
2017,1297,Northern Kentucky,72.83
2017,1355,South Dakota State,72.79
2017,1315,North Dakota,72.33
2017,1411,Texas Southern,70.99
2017,1240,Jacksonville State,71.17
2017,1300,North Carolina Central,71.04
2017,1413,UC-Davis,69.94
2017,1291,Mount St. Mary's,69.78
2017,1309,New Orleans,69.24
2018,1437,Villanova,94.92
2018,1438,Virginia,93.07
2018,1181,Duke,92.59
2018,1242,Kansas,90.88
2018,1277,Michigan State,91.67
2018,1153,Cincinnati,91.06
2018,1345,Purdue,91.08
2018,1314,North Carolina,90.62
2018,1211,Gonzaga,89.54
2018,1462,Xavier,88.88
2018,1276,Michigan,88.54
2018,1246,Kentucky,88.17
2018,1397,Tennessee,87.17
2018,1452,West Virginia,88.58
2018,1455,Wichita State,87.97
2018,1112,Arizona,87.86
2018,1222,Houston,86.21
2018,1403,Texas Tech,87.27
2018,1196,Florida,86.43
2018,1326,Ohio State,85.59
2018,1395,Texas Christian,84.84
2018,1371,Seton Hall,85.05
2018,1120,Auburn,84.04
2018,1139,Butler,84.65
2018,1155,Clemson,84.15
2018,1401,Texas A&M,83.55
2018,1274,Miami (FL),83.94
2018,1199,Florida State,83.61
2018,1400,Texas,82.9
2018,1166,Creighton,83.4
2018,1439,Virginia Tech,83.43
2018,1116,Arkansas,83.29
2018,1361,San Diego State,81.72
2018,1243,Kansas State,81.48
2018,1348,Rhode Island,83.07
2018,1328,Oklahoma,82.1
2018,1417,UCLA,83.22
2018,1281,Missouri,78.49
2018,1104,Alabama,82.2
2018,1260,Loyola (IL),81.28
2018,1172,Davidson,81.9
2018,1301,North Carolina State,81.74
2018,1305,Nevada,81.82
2018,1393,Syracuse,81.86
2018,1344,Providence,81.27
2018,1308,New Mexico State,79.79
2018,1113,Arizona State,81.26
2018,1382,St. Bonaventure,80.26
2018,1355,South Dakota State,78.07
2018,1138,Buffalo,79.07
2018,1293,Murray State,78.93
2018,1422,North Carolina-Greensboro,78.03
2018,1137,Bucknell,78.25
2018,1209,Georgia State,75.99
2018,1285,Montana,76.79
2018,1158,College of Charleston,76.44
2018,1335,Pennsylvania,75.55
2018,1267,Marshall,75.58
2018,1372,Stephen F. Austin,74.78
2018,1460,Wright State,74.31
2018,1233,Iona,74.79
2018,1252,Lipscomb,72.45
2018,1420,Maryland-Baltimore County,71.36
2018,1347,Radford,70.89
2018,1168,Cal State Fullerton,71.88
2018,1411,Texas Southern,67.93
2018,1254,Long Island University,67.64
2018,1300,North Carolina Central,65.3
2019,1181,Duke,96.3
2019,1438,Virginia,95.22
2019,1211,Gonzaga,95.02
2019,1314,North Carolina,93.24
2019,1277,Michigan State,92.28
2019,1246,Kentucky,91.24
2019,1397,Tennessee,91.34
2019,1276,Michigan,91.04
2019,1403,Texas Tech,89.65
2019,1345,Purdue,89.04
2019,1439,Virginia Tech,89.26
2019,1120,Auburn,89.02
2019,1222,Houston,87.89
2019,1199,Florida State,88.44
2019,1242,Kansas,86.3
2019,1235,Iowa State,86.12
2019,1458,Wisconsin,86.54
2019,1437,Villanova,86.96
2019,1243,Kansas State,86.65
2019,1261,Louisiana State,86.37
2019,1153,Cincinnati,85.44
2019,1257,Louisville,85.9
2019,1305,Nevada,86.11
2019,1268,Maryland,84.82
2019,1138,Buffalo,85.74
2019,1280,Mississippi State,85.11
2019,1266,Marquette,84.41
2019,1459,Wofford,84.38
2019,1393,Syracuse,83.92
2019,1196,Florida,83.95
2019,1326,Ohio State,82.59
2019,1328,Oklahoma,83.01
2019,1234,Iowa,82.36
2019,1125,Belmont,81.74
2019,1113,Arizona State,81.94
2019,1332,Oregon,82.64
2019,1371,Seton Hall,82.2
2019,1388,Saint Mary's (CA),83.58
2019,1429,Utah State,82.26
2019,1279,Mississippi,81.64
2019,1433,Virginia Commonwealth,81.7
2019,1449,Washington,82.55
2019,1278,Minnesota,80.84
2019,1293,Murray State,81.29
2019,1416,Central Florida,81.72
2019,1308,New Mexico State,80.91
2019,1124,Baylor,80.76
2019,1436,Vermont,79.29
2019,1318,Northeastern,78.58
2019,1251,Liberty,78.02
2019,1414,UC-Irvine,78.36
2019,1463,Yale,77.11
2019,1297,Northern Kentucky,77.27
2019,1387,Saint Louis,77.01
2019,1330,Old Dominion,76.98
2019,1209,Georgia State,76.3
2019,1285,Montana,76.17
2019,1159,Colgate,74.95
2019,1133,Bradley,72.91
2019,1205,Gardner-Webb,71.74
2019,1101,Abilene Christian,72.33
2019,1233,Iona,71.88
2019,1295,North Dakota State,70.79
2019,1192,Fairleigh Dickinson,70.86
2019,1300,North Carolina Central,65.48
2019,1396,Temple,79.39
2019,1341,Prairie View,69.57
2019,1385,St. John's (NY),78.84
2021,1211,Gonzaga,96.51
2021,1228,Illinois,94.02
2021,1124,Baylor,93.63
2021,1234,Iowa,90.82
2021,1222,Houston,90.22
2021,1276,Michigan,89.56
2021,1326,Ohio State,89.39
2021,1104,Alabama,88.93
2021,1438,Virginia,88.06
2021,1242,Kansas,87.39
2021,1400,Texas,86.74
2021,1199,Florida State,86.75
2021,1452,West Virginia,86.61
2021,1458,Wisconsin,87.32
2021,1345,Purdue,86.46
2021,1403,Texas Tech,86.43
2021,1166,Creighton,87
2021,1116,Arkansas,86.26
2021,1160,Colorado,86.02
2021,1397,Tennessee,85.78
2021,1361,San Diego State,85.59
2021,1425,Southern California,85.76
2021,1163,Connecticut,85.25
2021,1314,North Carolina,86.09
2021,1329,Oklahoma State,84.88
2021,1261,Louisiana State,85.16
2021,1437,Villanova,84.74
2021,1140,Brigham Young,84.52
2021,1260,Loyola (IL),85.08
2021,1268,Maryland,84.35
2021,1332,Oregon,84.59
2021,1353,Rutgers,84.12
2021,1210,Georgia Tech,83.89
2021,1196,Florida,83.03
2021,1393,Syracuse,83.03
2021,1277,Michigan State,82.87
2021,1382,St. Bonaventure,82.86
2021,1328,Oklahoma,83.41
2021,1429,Utah State,82.37
2021,1155,Clemson,82.36
2021,1417,UCLA,81.89
2021,1433,Virginia Commonwealth,81.94
2021,1207,Georgetown,81.32
2021,1439,Virginia Tech,81.2
2021,1281,Missouri,81.84
2021,1333,Oregon State,79.69
2021,1455,Wichita State,79.89
2021,1159,Colgate,79.74
2021,1457,Winthrop,78.41
2021,1317,North Texas,78.37
2021,1422,North Carolina-Greensboro,77.74
2021,1364,UC-Santa Barbara,78.4
2021,1179,Drake,77.57
2021,1101,Abilene Christian,77.04
2021,1251,Liberty,76.98
2021,1325,Ohio,77.51
2021,1186,Eastern Washington,76.07
2021,1213,Grand Canyon,74.71
2021,1287,Morehead State,73.72
2021,1331,Oral Roberts,73.26
2021,1180,Drexel,72.43
2021,1233,Iona,71.81
2021,1156,Cleveland State,71.8
2021,1216,Hartford,70.93
2021,1111,Appalachian State,70.28
2021,1291,Mount St. Mary's,68.91
2021,1411,Texas Southern,68.79
2021,1313,Norfolk State,68.29
2022,1211,Gonzaga,96.46
2022,1242,Kansas,91.27
2022,1246,Kentucky,91.22
2022,1112,Arizona,90.92
2022,1120,Auburn,89.48
2022,1437,Villanova,90.22
2022,1234,Iowa,88.96
2022,1222,Houston,88.72
2022,1345,Purdue,89.1
2022,1397,Tennessee,88.87
2022,1417,UCLA,89.83
2022,1181,Duke,89.28
2022,1403,Texas Tech,88.7
2022,1124,Baylor,87.66
2022,1228,Illinois,86.76
2022,1261,Louisiana State,85.72
2022,1116,Arkansas,86.77
2022,1458,Wisconsin,84.66
2022,1400,Texas,86.32
2022,1163,Connecticut,86.37
2022,1104,Alabama,85.15
2022,1276,Michigan,84.73
2022,1439,Virginia Tech,84.68
2022,1314,North Carolina,83.99
2022,1326,Ohio State,84.15
2022,1272,Memphis,84.91
2022,1388,Saint Mary's (CA),84.34
2022,1260,Loyola (IL),83.7
2022,1231,Indiana,83.43
2022,1344,Providence,82.72
2022,1361,San Diego State,83.49
2022,1277,Michigan State,83.46
2022,1395,Texas Christian,81.93
2022,1425,Southern California,83.02
2022,1266,Marquette,81.9
2022,1371,Seton Hall,82.61
2022,1129,Boise State,82.49
2022,1166,Creighton,81.49
2022,1293,Murray State,81.35
2022,1172,Davidson,81.83
2022,1412,Alabama-Birmingham,81.17
2022,1274,Miami (FL),81.13
2022,1235,Iowa State,80.57
2022,1161,Colorado State,81.65
2022,1323,Notre Dame,81.61
2022,1362,San Francisco,81.78
2022,1350,Richmond,79.91
2022,1353,Rutgers,81.13
2022,1355,South Dakota State,79.67
2022,1436,Vermont,80.32
2022,1151,Chattanooga,78.7
2022,1308,New Mexico State,77.68
2022,1159,Colgate,76.4
2022,1103,Akron,76.69
2022,1463,Yale,74.74
2022,1389,Saint Peter's,74.17
2022,1240,Jacksonville State,73.15
2022,1286,Montana State,74.3
2022,1460,Wright State,73.52
2022,1255,Longwood,73.42
2022,1174,Delaware,73.57
2022,1209,Georgia State,73.46
2022,1411,Texas Southern,71.14
2022,1313,Norfolk State,71.39
2022,1168,Cal State Fullerton,71.78
2022,1136,Bryant,71.55
2022,1461,Wyoming,78.52
2022,1394,Texas A&M-Corpus Christi,67.3
